10 13   341.469 -245.955 0.841653
11 13   -150.126 240.453 0.566941
12 13   28.6067 -63.0162 0.138411
13 13   222.225 -262.324 0.687598
14 13   503.858 -428.706 1.32312
15 13   8.97877 -55.4447 0.112334
16 13   -11.6601 -187.667 0.376058
17 13   -96.9743 -23.5395 0.199581
18 13   111.292 398.708 0.8279
19 13   -128.403 153.291 0.399927
20 13   353.878 -176.832 0.7912
21 13   296.393 122.431 0.641367
22 13   161.855 -48.2202 0.337771
23 13   46.6851 -9.26436 0.0951909
24 13   -80.6183 -65.0862 0.207225
25 13   -161.253 -94.714 0.374023
26 13   493.434 187.746 1.05589
27 13   -435.169 -330.218 1.09255
28 13   499.996 -366.728 1.24014
29 13   107.369 172.334 0.406089
30 13   302.561 -85.6083 0.628879
31 13   -189.256 -183.531 0.527262
32 13   542.952 114.504 1.10979
33 13   202.582 7.7001 0.405456
34 13   -170.641 32.8377 0.347545
35 13   41.6792 71.7108 0.165887
36 13   627.928 -52.17 1.26018
37 13   328.264 94.228 0.68304
38 13   -617.03 -328.232 1.3978
39 13   -32737.4 37848.2 100.084
40 13   -137.541 -85.9355 0.32436
41 13   -47.6333 -40.2432 0.124715
42 13   -281.676 -714.215 1.53551
43 13   -73.5217 116.741 0.275926
44 13   -356.844 -567.504 1.34074
45 13   -257.549 251.91 0.720529
46 13   -94.101 117.117 0.300475
47 13   -23.8642 -320.122 0.64202
48 13   -0.154291 68.5169 0.137034
49 13   -17.1617 -187.728 0.377022
50 13   78.3927 64.3426 0.202834
1 14   46.1677 107.189 0.233417
2 14   -102.631 219.577 0.484755
3 14   -453.378 -137.33 0.947441
4 14   -112.362 -21.1246 0.228662
5 14   48.3482 -44.2116 0.13103
6 14   26.6453 548.919 1.09913
7 14   90.3127 -405.525 0.830919
8 14   -202.949 -212.982 0.588386
9 14   62.0039 -79.4392 0.201545
10 14   -219.742 103.365 0.485678
11 14   -318.584 16.1484 0.637986
12 14   -401.595 -989.957 2.13663
13 14   311.779 215.728 0.758274
14 14   191.33 -129.163 0.461693
15 14   -264.784 -71.987 0.54879
16 14   -239.083 -3.41715 0.478214
17 14   -183.424 -2.77033 0.366889
18 14   -86.6637 -285.267 0.59628
19 14   -34.7945 98.6847 0.209278
20 14   -179.621 -132.772 0.446731
21 14   110.918 -425.089 0.878644
22 14   216.992 -373.303 0.863575
23 14   -172.376 -210.441 0.544055
24 14   271.887 178.849 0.650876
25 14   264.847 229.836 0.701338
26 14   27.4141 -276.614 0.555937
27 14   474.605 1337.64 2.83868
28 14   148.051 314.277 0.694806
29 14   -18.8383 183.134 0.3682
30 14   112.486 427.96 0.884992
31 14   -4.06151 -450.288 0.900613
32 14   67.9484 49.3617 0.167971
33 14   416.55 63.9645 0.842866
34 14   -290.207 -86.6055 0.605709
35 14   -951.942 604.606 2.25543
36 14   -149.983 -374.203 0.806283
37 14   -147.334 164.187 0.441202
38 14   -84.9808 -30.2227 0.18039
39 14   735.128 -595.487 1.89211
40 14   83.065 103.302 0.265112
41 14   33.1907 -97.0274 0.205094
42 14   -30.6281 35.2017 0.0933217
43 14   159.517 58.1355 0.33956
44 14   41.8473 158.294 0.327464
45 14   1.39639 -34.3727 0.0688021
46 14   -552.366 860.876 2.04569
47 14   302.083 431.849 1.05404
48 14   12.2697 -32.856 0.0701445
49 14   -613.196 1265.85 2.8131
50 14   -2732.5 -2451.18 7.34161
1 15   45.0153 7.70795 0.0913409
2 15   71.4686 11.3227 0.14472
3 15   -322.074 -123.447 0.689842
4 15   3139.13 -2550.06 8.08874
5 15   -159.285 143.291 0.428504
6 15   -33.6373 -120.195 0.249626
7 15   -61.1223 -151.521 0.326769
8 15   -768.649 175.868 1.57702
9 15   -119.564 368.562 0.774941
10 15   16.2713 -285.611 0.572147
11 15   -5.1604 -166.019 0.332198
12 15   -61.2483 215.671 0.448398
13 15   134.973 38.861 0.280912
14 15   149.78 254.817 0.591153
15 15   -152.004 -21.3853 0.307001
16 15   533.522 -99.0028 1.08526
17 15   129.046 329.632 0.707983
18 15   -370.591 256.61 0.901523
19 15   267.602 61.4813 0.549147
20 15   -4.49699 -29.6837 0.0600448
21 15   -321.587 -45.5655 0.649599
22 15   216.784 -455.022 1.00805
23 15   719.555 446.797 1.69397
24 15   184.047 -57.5085 0.385645
25 15   -5.27711 42.3499 0.0853549
26 15   -116.836 -78.6365 0.28167
27 15   21.8834 -66.6652 0.14033
28 15   -305.886 -141.426 0.673995
29 15   79.0249 -0.581731 0.158054
30 15   -505.263 63.6246 1.01851
31 15   -215.525 -263.582 0.680959
32 15   84.4443 120.383 0.294094
33 15   -2732.34 3546.65 8.95419
34 15   -183.201 177.431 0.510077
35 15   169.429 52.5446 0.35478
36 15   1015.56 -2005.01 4.49509
37 15   374.69 559.949 1.34749
38 15   28.074 34.3879 0.0887847
39 15   -4.34704 16.3035 0.0337461
40 15   435.597 255.378 1.00988
41 15   -1046.87 1180.33 3.15539
42 15   -3.10075 270.192 0.54042
43 15   125.639 -13.0019 0.252621
