44 14   163.792 175.617 0.480287
45 14   -642.491 -115.339 1.30552
46 14   17.3456 -113.934 0.230493
47 14   -86.6388 137.794 0.325537
48 14   -32.286 -10.6139 0.0679718
49 14   -415.033 323.714 1.0527
50 14   49.3363 47.7086 0.137262
1 15   -264.402 -83.8933 0.554785
2 15   -92.4303 68.1958 0.22973
3 15   214.865 -265.85 0.683647
4 15   -263.749 -550.369 1.22061
5 15   118.915 220.182 0.500482
6 15   729.405 155.06 1.49141
7 15   127.299 26.1172 0.259901
8 15   -25.4926 -179.567 0.362735
9 15   -229.084 106.792 0.505506
10 15   -6646.7 1963.33 13.8612
11 15   -22.4126 107.652 0.219921
12 15   194.965 263.853 0.65614
13 15   -106.445 -142.705 0.356063
14 15   182.939 -6.16645 0.366085
15 15   -98.1349 -130.176 0.326044
16 15   -362.658 2.60204 0.725334
17 15   -11.0277 -251.463 0.503409
18 15   2159.47 3769.85 8.6891
19 15   -158.755 -157.45 0.447185
20 15   72.7347 327.101 0.67018
21 15   77.7956 -75.6982 0.217093
22 15   93.8819 -135.612 0.329875
23 15   813.14 -198.658 1.67411
24 15   126.459 146.985 0.387797
25 15   51.1585 132.501 0.284068
26 15   -190.245 183.672 0.528879
27 15   282.014 -330.344 0.868698
28 15   -179.793 472.917 1.01188
29 15   28.9126 -49.423 0.114518
30 15   -107.32 258.729 0.560208
31 15   167.558 -207.011 0.53265
32 15   -3993.64 385.058 8.02431
33 15   -26.9922 4.91494 0.0548721
34 15   76.7283 168.524 0.370338
35 15   229.086 157.711 0.556249
36 15   73.6241 6.99113 0.14791
37 15   47.9693 109.927 0.239875
38 15   -0.160011 43.4147 0.08683
39 15   -92.0665 -220.208 0.477359
40 15   -172.082 -26.4657 0.348211
41 15   -703.41 -383.703 1.60251
42 15   -153.514 129.599 0.401808
43 15   -12.4696 -44.3219 0.0920852
44 15   -107.265 -127.913 0.333872
