5 14   128.128 232.032 0.530116
6 14   22.15 65.6933 0.138654
7 14   -197.235 -567.469 1.20154
8 14   808.508 412.359 1.81519
9 14   -192.581 51.3127 0.3986
10 14   -141.158 -48.9477 0.298808
11 14   -76.4786 87.9199 0.233057
12 14   204.899 -163.07 0.523739
13 14   -186.998 -104.808 0.428733
14 14   4217.44 349.525 8.46379
15 14   106.415 41.8078 0.228666
16 14   2409.61 2578.39 7.05813
17 14   353.916 52.1153 0.715466
18 14   26.0204 93.4144 0.193941
19 14   -7.83567 105.782 0.212144
20 14   -143.603 -51.6338 0.305208
21 14   74.8705 -148.24 0.332149
22 14   510.747 -25.9481 1.02281
23 14   -257.728 95.2104 0.549505
24 14   -126.587 -165.168 0.416195
25 14   7.92433 -103.407 0.20742
26 14   -330.516 311.186 0.907916
27 14   -185.813 25.3972 0.375082
28 14   -87.3381 -100.904 0.266904
29 14   -105.264 128.793 0.332675
30 14   -75.8893 -111.397 0.269581
31 14   59.9715 -69.7659 0.183998
32 14   49.0126 3.38816 0.0982591
33 14   134.859 8.20063 0.270217
34 14   -64.8365 15.6692 0.133406
35 14   68.2616 -169.78 0.365977
36 14   -245.261 -420.075 0.972864
37 14   -58.2108 -117.692 0.262602
38 14   12.108 -93.2722 0.18811
39 14   -169.148 -24.1436 0.341725
40 14   -249.769 -33.4628 0.504001
41 14   143.368 2.51899 0.28678
42 14   -55.149 -98.2035 0.225258
43 14   -3.7738 -20.3869 0.0414664
44 14   -417.748 169.973 0.902008
45 14   1492.61 137.706 2.9979
46 14   67.4831 -13.2691 0.137551
47 14   40.5922 -214.535 0.436683
48 14   334.53 137.943 0.723709
49 14   55.8078 -117.645 0.260422
50 14   -200.263 -148.273 0.498359
1 15   323.211 159.363 0.720727
2 15   -38.8975 -73.7432 0.166746
3 15   -36.6434 34.3342 0.100431
4 15   325.399 -244.837 0.814444
5 15   110.804 -170.446 0.406593
6 15   -401.593 69.2763 0.81505
7 15   -111.606 -27.4843 0.22988
8 15   -180.64 -335.019 0.761231
9 15   68.1169 784.277 1.57446
10 15   286.114 -3.82131 0.57228
11 15   -92.9411 -183.877 0.412063
12 15   701.771 -267.168 1.50181
13 15   -108.914 67.4473 0.256214
14 15   668.404 288.084 1.45569
15 15   17.4523 411.747 0.824233
16 15   4.00509 -11.0552 0.0235166
17 15   1244.51 -192.697 2.51869
18 15   362.718 -159.602 0.792558
19 15   59.0188 47.9347 0.152065
20 15   80.6112 380.378 0.777652
21 15   47.2523 38.9121 0.122424
22 15   -26.2411 36.8015 0.0903979
23 15   16.9013 -539.274 1.07908
24 15   -94.6003 33.8659 0.200959
25 15   213.085 44.9921 0.435566
26 15   63.2385 -158.347 0.341015
27 15   41.4332 1.68901 0.0829351
28 15   214.028 230.17 0.628606
29 15   37.0292 -429.057 0.861304
30 15   -255.391 942.82 1.9536
31 15   23.2839 537.987 1.07698
32 15   -19.9005 -90.2449 0.184826
33 15   -55.1189 -288.894 0.588209
34 15   86.4195 -142.874 0.333954
35 15   249.77 -28.9451 0.502883
36 15   77.6921 612.724 1.23526
37 15   502.292 118.729 1.03227
38 15   -578.671 -675.942 1.77962
39 15   71.3106 -182.257 0.391422
40 15   455.717 368.927 1.17266
41 15   45.3947 -397.213 0.799597
42 15   -137.459 523.065 1.08165
